Ticker,Currency,datadate,Fiscal Quarter,NI
WMT,USD,19930731,1993Q2,495.875
WMT,USD,19931031,1993Q3,518.739
WMT,USD,19940131,1993Q4,868.013
WMT,USD,19940430,1994Q1,498.456
WMT,USD,19940731,1994Q2,564.815
WMT,USD,19941031,1994Q3,588.085
WMT,USD,19950131,1994Q4,1029.644
WMT,USD,19950430,1995Q1,553
WMT,USD,19950731,1995Q2,634
WMT,USD,19951031,1995Q3,611
WMT,USD,19960131,1995Q4,942
WMT,USD,19960430,1996Q1,571
WMT,USD,19960731,1996Q2,706
WMT,USD,19961031,1996Q3,684
WMT,USD,19970131,1996Q4,1095
WMT,USD,19970430,1997Q1,652
WMT,USD,19970731,1997Q2,795
WMT,USD,19971031,1997Q3,792
WMT,USD,19980131,1997Q4,1287
WMT,USD,19980430,1998Q1,828
WMT,USD,19980731,1998Q2,1034
WMT,USD,19981031,1998Q3,1009
WMT,USD,19990131,1998Q4,1559
WMT,USD,19990430,1999Q1,916
WMT,USD,19990731,1999Q2,1251
WMT,USD,19991031,1999Q3,1294
WMT,USD,20000131,1999Q4,1916
WMT,USD,20000430,2000Q1,1326
WMT,USD,20000731,2000Q2,1596
WMT,USD,20001031,2000Q3,1369
WMT,USD,20010131,2000Q4,2004
WMT,USD,20010430,2001Q1,1380
WMT,USD,20010731,2001Q2,1621
WMT,USD,20011031,2001Q3,1481
WMT,USD,20020131,2001Q4,2189
WMT,USD,20020430,2002Q1,1631
WMT,USD,20020731,2002Q2,2019
WMT,USD,20021031,2002Q3,1797
WMT,USD,20030131,2002Q4,2508
WMT,USD,20030430,2003Q1,1861
WMT,USD,20030731,2003Q2,2444
WMT,USD,20031031,2003Q3,2028
WMT,USD,20040131,2003Q4,2721
WMT,USD,20040430,2004Q1,2166
WMT,USD,20040731,2004Q2,2651
WMT,USD,20041031,2004Q3,2286
WMT,USD,20050131,2004Q4,3164
WMT,USD,20050430,2005Q1,2461
WMT,USD,20050731,2005Q2,2805
WMT,USD,20051031,2005Q3,2374
WMT,USD,20060131,2005Q4,3591
WMT,USD,20060430,2006Q1,2615
WMT,USD,20060731,2006Q2,2083
WMT,USD,20061031,2006Q3,2647
WMT,USD,20070131,2006Q4,3939
WMT,USD,20070430,2007Q1,2826
WMT,USD,20070731,2007Q2,2952
WMT,USD,20071031,2007Q3,2857
WMT,USD,20080131,2007Q4,4096
WMT,USD,20080430,2008Q1,3022
WMT,USD,20080731,2008Q2,3449
WMT,USD,20081031,2008Q3,3137
WMT,USD,20090131,2008Q4,3792
WMT,USD,20090430,2009Q1,2996
WMT,USD,20090731,2009Q2,3472
WMT,USD,20091031,2009Q3,3144
WMT,USD,20100131,2009Q4,4758
WMT,USD,20100430,2010Q1,3301
WMT,USD,20100731,2010Q2,3596
WMT,USD,20101031,2010Q3,3436
WMT,USD,20110131,2010Q4,6056
WMT,USD,20110430,2011Q1,3399
WMT,USD,20110731,2011Q2,3801
WMT,USD,20111031,2011Q3,3336
WMT,USD,20120131,2011Q4,5163
WMT,USD,20120430,2012Q1,3742
WMT,USD,20120731,2012Q2,4016
WMT,USD,20121031,2012Q3,3635
WMT,USD,20130131,2012Q4,5606
WMT,USD,20130430,2013Q1,3784
WMT,USD,20130731,2013Q2,4069
WMT,USD,20131031,2013Q3,3738
WMT,USD,20140131,2013Q4,4431
